T_max,T_min,t_p,t_start,t_ramp,setback,const_temp,sim_id,file_name
-1,-1,-1,-1,-1,False,25.5,69,./2004/main_69.idf
-1,-1,-1,-1,-1,False,26,70,./2004/main_70.idf
29.5,24,0,5.98333333333333,0.5,True,-1,71,./2004/main_71.idf
29.5,23.5,0,5.98333333333333,0.25,True,-1,72,./2004/main_72.idf
29.5,24,-1.25,4.73333333333333,0,True,-1,73,./2004/main_73.idf
29.5,24,-1.5,4.48333333333333,0.25,True,-1,74,./2004/main_74.idf
29.5,24,-2,3.98333333333333,1,True,-1,75,./2004/main_75.idf
29.5,24.5,-2.25,3.73333333333333,0,True,-1,76,./2004/main_76.idf
29.5,23.5,-0.75,5.23333333333333,0,True,-1,77,./2004/main_77.idf
29,24,-2.5,3.48333333333333,0,True,-1,78,./2004/main_78.idf
29.5,23.5,-0.75,5.23333333333333,0.25,True,-1,79,./2004/main_79.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,80,./2004/main_80.idf
29.5,23.5,-2.25,3.73333333333333,0.25,True,-1,81,./2004/main_81.idf
29,23.5,-0.5,5.48333333333333,1.5,True,-1,82,./2004/main_82.idf
-1,-1,-1,-1,-1,False,24.5,83,./2004/main_83.idf
29,23.5,0,5.98333333333333,0.75,True,-1,84,./2004/main_84.idf
29,23.5,-0.75,5.23333333333333,0,True,-1,85,./2004/main_85.idf
29.5,24,0,5.98333333333333,0.25,True,-1,86,./2004/main_86.idf
29,24,-2.25,3.73333333333333,0.75,True,-1,87,./2004/main_87.idf
-1,-1,-1,-1,-1,False,23,88,./2004/main_88.idf
-1,-1,-1,-1,-1,False,23,89,./2004/main_89.idf
29,24,-0.25,5.73333333333333,0.5,True,-1,90,./2004/main_90.idf
30,24,-1.5,4.48333333333333,0,True,-1,91,./2004/main_91.idf
-1,-1,-1,-1,-1,False,22,92,./2004/main_92.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,93,./2004/main_93.idf
30,24,-1.25,4.73333333333333,0,True,-1,94,./2004/main_94.idf
-1,-1,-1,-1,-1,False,24,95,./2004/main_95.idf
29.5,24,-5,0.983333333333333,0.75,True,-1,96,./2004/main_96.idf
29.5,24,0,5.98333333333333,0.25,True,-1,97,./2004/main_97.idf
29,24,-0.5,5.48333333333333,0.25,True,-1,98,./2004/main_98.idf
-1,-1,-1,-1,-1,False,26,99,./2004/main_99.idf
29.5,24,-2,3.98333333333333,0.5,True,-1,100,./2004/main_100.idf
29.5,24,-1,4.98333333333333,0,True,-1,101,./2004/main_101.idf
-1,-1,-1,-1,-1,False,25,102,./2004/main_102.idf
30,24,-3.25,2.73333333333333,0.5,True,-1,103,./2004/main_103.idf
29.5,24.5,-0.5,5.48333333333333,0,True,-1,104,./2004/main_104.idf
29.5,24,-1,4.98333333333333,0,True,-1,105,./2004/main_105.idf
29.5,24,-1,4.98333333333333,0.75,True,-1,106,./2004/main_106.idf
29.5,23.5,-1.5,4.48333333333333,1.25,True,-1,107,./2004/main_107.idf
29.5,24,-1.75,4.23333333333333,0.75,True,-1,108,./2004/main_108.idf
29.5,24,-2.25,3.73333333333333,0,True,-1,109,./2004/main_109.idf
29.5,24,-1.75,4.23333333333333,1.25,True,-1,110,./2004/main_110.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,111,./2004/main_111.idf
29.5,24,-0.25,5.73333333333333,0.5,True,-1,112,./2004/main_112.idf
29.5,23.5,-1.5,4.48333333333333,0,True,-1,113,./2004/main_113.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,114,./2004/main_114.idf
-1,-1,-1,-1,-1,False,23,115,./2004/main_115.idf
29.5,24,-1.25,4.73333333333333,0,True,-1,116,./2004/main_116.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,117,./2004/main_117.idf
29.5,24,0,5.98333333333333,0.25,True,-1,118,./2004/main_118.idf
29.5,24,-1.25,4.73333333333333,0,True,-1,119,./2004/main_119.idf
-1,-1,-1,-1,-1,False,23.5,120,./2004/main_120.idf
29.5,24,-1.25,4.73333333333333,0.25,True,-1,121,./2004/main_121.idf
-1,-1,-1,-1,-1,False,25.5,122,./2004/main_122.idf
29.5,24,0,5.98333333333333,0.25,True,-1,123,./2004/main_123.idf
29.5,24,0,5.98333333333333,0,True,-1,124,./2004/main_124.idf
29.5,23.5,-0.25,5.73333333333333,0.75,True,-1,125,./2004/main_125.idf
29.5,24,-3.25,2.73333333333333,0.25,True,-1,126,./2004/main_126.idf
29.5,24,-0.25,5.73333333333333,0.5,True,-1,127,./2004/main_127.idf
29.5,24,-2,3.98333333333333,0.25,True,-1,128,./2004/main_128.idf
29,24,-0.5,5.48333333333333,0.25,True,-1,129,./2004/main_129.idf
-1,-1,-1,-1,-1,False,25,130,./2004/main_130.idf
29,24,0,5.98333333333333,0,True,-1,131,./2004/main_131.idf
29.5,23.5,-4,1.98333333333333,0,True,-1,132,./2004/main_132.idf
29.5,24,-2,3.98333333333333,0,True,-1,133,./2004/main_133.idf
29,24,-1.75,4.23333333333333,0.25,True,-1,134,./2004/main_134.idf
29.5,24,0,5.98333333333333,0.5,True,-1,135,./2004/main_135.idf
-1,-1,-1,-1,-1,False,21.5,136,./2004/main_136.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,137,./2004/main_137.idf
-1,-1,-1,-1,-1,False,25.5,138,./2004/main_138.idf
29.5,24,0,5.98333333333333,0.25,True,-1,139,./2004/main_139.idf
29.5,24,0,5.98333333333333,0.5,True,-1,140,./2004/main_140.idf
29.5,24,-1.25,4.73333333333333,0.25,True,-1,141,./2004/main_141.idf
-1,-1,-1,-1,-1,False,26.5,142,./2004/main_142.idf
-1,-1,-1,-1,-1,False,20,143,./2004/main_143.idf
29.5,24,-2.5,3.48333333333333,0.25,True,-1,144,./2004/main_144.idf
29.5,24,0,5.98333333333333,0.5,True,-1,145,./2004/main_145.idf
29.5,24,0,5.98333333333333,0,True,-1,146,./2004/main_146.idf
29.5,23.5,0,5.98333333333333,0,True,-1,147,./2004/main_147.idf
29.5,24,-0.25,5.73333333333333,0.75,True,-1,148,./2004/main_148.idf
29.5,24,0,5.98333333333333,0.25,True,-1,149,./2004/main_149.idf
29.5,24,-1,4.98333333333333,0.75,True,-1,150,./2004/main_150.idf
-1,-1,-1,-1,-1,False,23.5,151,./2004/main_151.idf
29,24,-0.25,5.73333333333333,0.25,True,-1,152,./2004/main_152.idf
-1,-1,-1,-1,-1,False,24,153,./2004/main_153.idf
-1,-1,-1,-1,-1,False,23.5,154,./2004/main_154.idf
29,24,-2.25,3.73333333333333,0.25,True,-1,155,./2004/main_155.idf
29.5,24,-1.25,4.73333333333333,0.25,True,-1,156,./2004/main_156.idf
29.5,24,0,5.98333333333333,0.25,True,-1,157,./2004/main_157.idf
29.5,24,0,5.98333333333333,0.5,True,-1,158,./2004/main_158.idf
-1,-1,-1,-1,-1,False,25,159,./2004/main_159.idf
29.5,24,0,5.98333333333333,1,True,-1,160,./2004/main_160.idf
29.5,24,-0.5,5.48333333333333,0.25,True,-1,161,./2004/main_161.idf
29.5,23.5,-2.25,3.73333333333333,0,True,-1,162,./2004/main_162.idf
29.5,24,-1.5,4.48333333333333,0.25,True,-1,163,./2004/main_163.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,164,./2004/main_164.idf
29.5,24,-2.25,3.73333333333333,0.25,True,-1,165,./2004/main_165.idf
29.5,24,0,5.98333333333333,0,True,-1,166,./2004/main_166.idf
-1,-1,-1,-1,-1,False,23.5,167,./2004/main_167.idf
30,24,-0.25,5.73333333333333,0,True,-1,168,./2004/main_168.idf
30,23.5,0,5.98333333333333,0,True,-1,169,./2004/main_169.idf
29.5,24.5,-0.25,5.73333333333333,1.25,True,-1,170,./2004/main_170.idf
29.5,24,-1,4.98333333333333,0.75,True,-1,171,./2004/main_171.idf
29.5,24,-3.5,2.48333333333333,0,True,-1,172,./2004/main_172.idf
-1,-1,-1,-1,-1,False,24,173,./2004/main_173.idf
29.5,23.5,-2.5,3.48333333333333,0,True,-1,174,./2004/main_174.idf
-1,-1,-1,-1,-1,False,25.5,175,./2004/main_175.idf
29.5,23.5,0,5.98333333333333,0,True,-1,176,./2004/main_176.idf
29.5,24,-1.25,4.73333333333333,0,True,-1,177,./2004/main_177.idf
29.5,24,-1.75,4.23333333333333,0.25,True,-1,178,./2004/main_178.idf
-1,-1,-1,-1,-1,False,22.5,179,./2004/main_179.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,180,./2004/main_180.idf
-1,-1,-1,-1,-1,False,22,181,./2004/main_181.idf
29.5,24,0,5.98333333333333,0.25,True,-1,182,./2004/main_182.idf
29.5,24,-3.25,2.73333333333333,0.25,True,-1,183,./2004/main_183.idf
29.5,23.5,0,5.98333333333333,0.75,True,-1,184,./2004/main_184.idf
-1,-1,-1,-1,-1,False,27,185,./2004/main_185.idf
29.5,23.5,-0.25,5.73333333333333,0,True,-1,186,./2004/main_186.idf
29,24,-0.75,5.23333333333333,0,True,-1,187,./2004/main_187.idf
-1,-1,-1,-1,-1,False,24.5,188,./2004/main_188.idf
29.5,23.5,-0.25,5.73333333333333,0.25,True,-1,189,./2004/main_189.idf
29,24,-2.5,3.48333333333333,0,True,-1,190,./2004/main_190.idf
29.5,24,0,5.98333333333333,0,True,-1,191,./2004/main_191.idf
29.5,23.5,0,5.98333333333333,0.25,True,-1,192,./2004/main_192.idf
-1,-1,-1,-1,-1,False,25.5,193,./2004/main_193.idf
29.5,24,-0.5,5.48333333333333,0.5,True,-1,194,./2004/main_194.idf
29.5,24,-2.75,3.23333333333333,1,True,-1,195,./2004/main_195.idf
29.5,23.5,-1,4.98333333333333,0.25,True,-1,196,./2004/main_196.idf
29.5,24,-2.75,3.23333333333333,0,True,-1,197,./2004/main_197.idf
-1,-1,-1,-1,-1,False,21.5,198,./2004/main_198.idf
29.5,23.5,-1.75,4.23333333333333,0.5,True,-1,199,./2004/main_199.idf
29.5,24,-4.75,1.23333333333333,0.25,True,-1,200,./2004/main_200.idf
29.5,23.5,-1.5,4.48333333333333,0.25,True,-1,201,./2004/main_201.idf
29.5,24,-2.75,3.23333333333333,0,True,-1,202,./2004/main_202.idf
-1,-1,-1,-1,-1,False,24,203,./2004/main_203.idf
29,24,-1.75,4.23333333333333,0.25,True,-1,204,./2004/main_204.idf
29,23.5,-0.25,5.73333333333333,0,True,-1,205,./2004/main_205.idf
29,23.5,0,5.98333333333333,0,True,-1,206,./2004/main_206.idf
29.5,24,0,5.98333333333333,0,True,-1,207,./2004/main_207.idf
29.5,24,-1.25,4.73333333333333,0.25,True,-1,208,./2004/main_208.idf
29.5,23.5,0,5.98333333333333,0,True,-1,209,./2004/main_209.idf
-1,-1,-1,-1,-1,False,26,210,./2004/main_210.idf
29.5,24,-3.5,2.48333333333333,0,True,-1,211,./2004/main_211.idf
29.5,24,0,5.98333333333333,0.25,True,-1,212,./2004/main_212.idf
-1,-1,-1,-1,-1,False,22.5,213,./2004/main_213.idf
29.5,23.5,-1.5,4.48333333333333,0,True,-1,214,./2004/main_214.idf
-1,-1,-1,-1,-1,False,26,215,./2004/main_215.idf
29.5,23.5,-0.25,5.73333333333333,0,True,-1,216,./2004/main_216.idf
-1,-1,-1,-1,-1,False,23,217,./2004/main_217.idf
-1,-1,-1,-1,-1,False,24,218,./2004/main_218.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,219,./2004/main_219.idf
29.5,24,-0.5,5.48333333333333,0.25,True,-1,220,./2004/main_220.idf
-1,-1,-1,-1,-1,False,23.5,221,./2004/main_221.idf
29.5,24,-1,4.98333333333333,0,True,-1,222,./2004/main_222.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,223,./2004/main_223.idf
29.5,23.5,-2.5,3.48333333333333,0,True,-1,224,./2004/main_224.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,225,./2004/main_225.idf
29.5,23.5,-1.5,4.48333333333333,1.5,True,-1,226,./2004/main_226.idf
-1,-1,-1,-1,-1,False,22.5,227,./2004/main_227.idf
-1,-1,-1,-1,-1,False,22.5,228,./2004/main_228.idf
29.5,24,-0.75,5.23333333333333,0,True,-1,229,./2004/main_229.idf
29.5,24,-1.5,4.48333333333333,0.5,True,-1,230,./2004/main_230.idf
29.5,24,-1,4.98333333333333,0,True,-1,231,./2004/main_231.idf
30,24,0,5.98333333333333,0,True,-1,232,./2004/main_232.idf
29.5,24,-0.75,5.23333333333333,0.5,True,-1,233,./2004/main_233.idf
-1,-1,-1,-1,-1,False,25.5,234,./2004/main_234.idf
29.5,24,-5,0.983333333333333,0,True,-1,235,./2004/main_235.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,236,./2004/main_236.idf
-1,-1,-1,-1,-1,False,24,237,./2004/main_237.idf
-1,-1,-1,-1,-1,False,24.5,238,./2004/main_238.idf
-1,-1,-1,-1,-1,False,24,239,./2004/main_239.idf
29.5,24,-0.5,5.48333333333333,0.5,True,-1,240,./2004/main_240.idf
30,24,-0.75,5.23333333333333,0,True,-1,241,./2004/main_241.idf
29.5,24,-3,2.98333333333333,0.5,True,-1,242,./2004/main_242.idf
29.5,24,-0.5,5.48333333333333,0.25,True,-1,243,./2004/main_243.idf
29.5,24,-4.75,1.23333333333333,0,True,-1,244,./2004/main_244.idf
-1,-1,-1,-1,-1,False,22,245,./2004/main_245.idf
29,23.5,-0.25,5.73333333333333,0.25,True,-1,246,./2004/main_246.idf
29.5,24,-1.5,4.48333333333333,0,True,-1,247,./2004/main_247.idf
29,24,-2.5,3.48333333333333,0.5,True,-1,248,./2004/main_248.idf
29.5,24,-0.5,5.48333333333333,1,True,-1,249,./2004/main_249.idf
29,23.5,-1,4.98333333333333,1,True,-1,250,./2004/main_250.idf
-1,-1,-1,-1,-1,False,25.5,251,./2004/main_251.idf
29.5,24,-1,4.98333333333333,0,True,-1,252,./2004/main_252.idf
29.5,24,-0.75,5.23333333333333,0.5,True,-1,253,./2004/main_253.idf
29.5,24,-1.5,4.48333333333333,0,True,-1,254,./2004/main_254.idf
29.5,24,-1.75,4.23333333333333,0.25,True,-1,255,./2004/main_255.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,256,./2004/main_256.idf
-1,-1,-1,-1,-1,False,25,257,./2004/main_257.idf
29.5,24.5,-0.5,5.48333333333333,0,True,-1,258,./2004/main_258.idf
29.5,23.5,-2,3.98333333333333,0,True,-1,259,./2004/main_259.idf
29.5,24,0,5.98333333333333,0,True,-1,260,./2004/main_260.idf
29.5,24,-0.75,5.23333333333333,1.25,True,-1,261,./2004/main_261.idf
29.5,24,-1.75,4.23333333333333,0.25,True,-1,262,./2004/main_262.idf
29.5,24,0,5.98333333333333,0,True,-1,263,./2004/main_263.idf
29.5,24,-1.25,4.73333333333333,0.5,True,-1,264,./2004/main_264.idf
-1,-1,-1,-1,-1,False,23.5,265,./2004/main_265.idf
29.5,24,-1.5,4.48333333333333,0,True,-1,266,./2004/main_266.idf
29.5,23.5,-1,4.98333333333333,0,True,-1,267,./2004/main_267.idf
-1,-1,-1,-1,-1,False,23.5,268,./2004/main_268.idf
-1,-1,-1,-1,-1,False,24,269,./2004/main_269.idf
-1,-1,-1,-1,-1,False,23,270,./2004/main_270.idf
-1,-1,-1,-1,-1,False,21.5,271,./2004/main_271.idf
29.5,24,-2.75,3.23333333333333,0.25,True,-1,272,./2004/main_272.idf
-1,-1,-1,-1,-1,False,24.5,273,./2004/main_273.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,274,./2004/main_274.idf
-1,-1,-1,-1,-1,False,22,275,./2004/main_275.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,276,./2004/main_276.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,277,./2004/main_277.idf
29,24,-0.25,5.73333333333333,1.25,True,-1,278,./2004/main_278.idf
29.5,23.5,0,5.98333333333333,0.25,True,-1,279,./2004/main_279.idf
-1,-1,-1,-1,-1,False,25,280,./2004/main_280.idf
29.5,24,0,5.98333333333333,0.5,True,-1,281,./2004/main_281.idf
-1,-1,-1,-1,-1,False,21.5,282,./2004/main_282.idf
-1,-1,-1,-1,-1,False,23.5,283,./2004/main_283.idf
29.5,24,-1.5,4.48333333333333,0,True,-1,284,./2004/main_284.idf
29.5,24,-1.5,4.48333333333333,0.5,True,-1,285,./2004/main_285.idf
29.5,24,-1.5,4.48333333333333,0.5,True,-1,286,./2004/main_286.idf
29.5,24,0,5.98333333333333,0,True,-1,287,./2004/main_287.idf
29.5,24,-0.75,5.23333333333333,0.25,True,-1,288,./2004/main_288.idf
29.5,23.5,-1.25,4.73333333333333,0,True,-1,289,./2004/main_289.idf
29,24,-0.25,5.73333333333333,0.25,True,-1,290,./2004/main_290.idf
29.5,24,-0.25,5.73333333333333,0.5,True,-1,291,./2004/main_291.idf
29.5,24,-1.25,4.73333333333333,0,True,-1,292,./2004/main_292.idf
29.5,24,-0.25,5.73333333333333,0.5,True,-1,293,./2004/main_293.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,294,./2004/main_294.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,295,./2004/main_295.idf
-1,-1,-1,-1,-1,False,25,296,./2004/main_296.idf
-1,-1,-1,-1,-1,False,21.5,297,./2004/main_297.idf
29.5,24,-0.5,5.48333333333333,0.75,True,-1,298,./2004/main_298.idf
29,24,-3.75,2.23333333333333,0,True,-1,299,./2004/main_299.idf
-1,-1,-1,-1,-1,False,24.5,300,./2004/main_300.idf
29.5,24,-0.75,5.23333333333333,1,True,-1,301,./2004/main_301.idf
-1,-1,-1,-1,-1,False,23.5,302,./2004/main_302.idf
-1,-1,-1,-1,-1,False,23,303,./2004/main_303.idf
29,24,-1,4.98333333333333,0,True,-1,304,./2004/main_304.idf
29.5,24,0,5.98333333333333,0.25,True,-1,305,./2004/main_305.idf
29,24,-2,3.98333333333333,0,True,-1,306,./2004/main_306.idf
29.5,23.5,-2.5,3.48333333333333,0,True,-1,307,./2004/main_307.idf
29,24,-2.5,3.48333333333333,0.5,True,-1,308,./2004/main_308.idf
-1,-1,-1,-1,-1,False,24.5,309,./2004/main_309.idf
29.5,23.5,-1.5,4.48333333333333,0,True,-1,310,./2004/main_310.idf
-1,-1,-1,-1,-1,False,23,311,./2004/main_311.idf
-1,-1,-1,-1,-1,False,25,312,./2004/main_312.idf
29.5,24,-4.75,1.23333333333333,0,True,-1,313,./2004/main_313.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,314,./2004/main_314.idf
29.5,23.5,-0.25,5.73333333333333,0,True,-1,315,./2004/main_315.idf
29.5,24,0,5.98333333333333,0.5,True,-1,316,./2004/main_316.idf
29.5,24,-5,0.983333333333333,0,True,-1,317,./2004/main_317.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,318,./2004/main_318.idf
29,24,-0.5,5.48333333333333,0.25,True,-1,319,./2004/main_319.idf
30,24,-1.5,4.48333333333333,1.25,True,-1,320,./2004/main_320.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,321,./2004/main_321.idf
-1,-1,-1,-1,-1,False,23,322,./2004/main_322.idf
29,24,-1.25,4.73333333333333,0,True,-1,323,./2004/main_323.idf
-1,-1,-1,-1,-1,False,22.5,324,./2004/main_324.idf
29.5,24.5,-0.25,5.73333333333333,1,True,-1,325,./2004/main_325.idf
29,23.5,-1.25,4.73333333333333,0,True,-1,326,./2004/main_326.idf
29.5,23.5,-0.5,5.48333333333333,0,True,-1,327,./2004/main_327.idf
29.5,23.5,0,5.98333333333333,0.25,True,-1,328,./2004/main_328.idf
29.5,24,-0.25,5.73333333333333,0.25,True,-1,329,./2004/main_329.idf
29.5,24,-1.5,4.48333333333333,0.5,True,-1,330,./2004/main_330.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,331,./2004/main_331.idf
29,23.5,-4.75,1.23333333333333,0.25,True,-1,332,./2004/main_332.idf
-1,-1,-1,-1,-1,False,21,333,./2004/main_333.idf
29.5,24,0,5.98333333333333,0.5,True,-1,334,./2004/main_334.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,335,./2004/main_335.idf
29.5,23.5,-3,2.98333333333333,0,True,-1,336,./2004/main_336.idf
29.5,24,-0.5,5.48333333333333,0,True,-1,337,./2004/main_337.idf
-1,-1,-1,-1,-1,False,23.5,338,./2004/main_338.idf
29,24,-1.25,4.73333333333333,0.5,True,-1,339,./2004/main_339.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,340,./2004/main_340.idf
-1,-1,-1,-1,-1,False,23,341,./2004/main_341.idf
29.5,24,-1.75,4.23333333333333,0,True,-1,342,./2004/main_342.idf
29.5,24,-1,4.98333333333333,0.25,True,-1,343,./2004/main_343.idf
29.5,24,-2.25,3.73333333333333,1.25,True,-1,344,./2004/main_344.idf
30,24,-0.25,5.73333333333333,0.75,True,-1,345,./2004/main_345.idf
29.5,24,-3.25,2.73333333333333,0.25,True,-1,346,./2004/main_346.idf
29.5,24,-0.75,5.23333333333333,0.25,True,-1,347,./2004/main_347.idf
29.5,23.5,-0.25,5.73333333333333,0.25,True,-1,348,./2004/main_348.idf
29.5,24,-0.75,5.23333333333333,0.25,True,-1,349,./2004/main_349.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,350,./2004/main_350.idf
-1,-1,-1,-1,-1,False,25,351,./2004/main_351.idf
29.5,24,-3.75,2.23333333333333,0.75,True,-1,352,./2004/main_352.idf
-1,-1,-1,-1,-1,False,25,353,./2004/main_353.idf
29.5,23.5,0,5.98333333333333,0.25,True,-1,354,./2004/main_354.idf
-1,-1,-1,-1,-1,False,23,355,./2004/main_355.idf
29.5,24,-0.5,5.48333333333333,0.25,True,-1,356,./2004/main_356.idf
29,24,-0.5,5.48333333333333,1,True,-1,357,./2004/main_357.idf
-1,-1,-1,-1,-1,False,24,358,./2004/main_358.idf
29,23.5,-3.5,2.48333333333333,0,True,-1,359,./2004/main_359.idf
-1,-1,-1,-1,-1,False,25.5,360,./2004/main_360.idf
29.5,23.5,-4.5,1.48333333333333,0,True,-1,361,./2004/main_361.idf
29.5,24,-3.5,2.48333333333333,0,True,-1,362,./2004/main_362.idf
-1,-1,-1,-1,-1,False,23.5,363,./2004/main_363.idf
29.5,24,0,5.98333333333333,1.25,True,-1,364,./2004/main_364.idf
29.5,24,-0.5,5.48333333333333,0.25,True,-1,365,./2004/main_365.idf
29.5,24,-4,1.98333333333333,0.5,True,-1,366,./2004/main_366.idf
29.5,24,-0.25,5.73333333333333,0,True,-1,367,./2004/main_367.idf
-1,-1,-1,-1,-1,False,23,368,./2004/main_368.idf
