T_max,T_min,t_p,t_start,t_ramp,setback,const_temp,sim_id,file_name
20.5,15,-0.5,5.48333333333333,0.25,True,-1,40,./2004/electric_40.idf
21,16,0,5.98333333333333,0,True,-1,41,./2004/electric_41.idf
21.5,16,-0.25,5.73333333333333,0.25,True,-1,42,./2004/electric_42.idf
-1,-1,-1,-1,-1,False,20,43,./2004/electric_43.idf
21,15.5,-0.25,5.73333333333333,0,True,-1,44,./2004/electric_44.idf
21.5,17,0,5.98333333333333,0.5,True,-1,45,./2004/electric_45.idf
20.5,14.5,0,5.98333333333333,0,True,-1,46,./2004/electric_46.idf
20.5,16,0,5.98333333333333,1.5,True,-1,47,./2004/electric_47.idf
21.5,15,-0.25,5.73333333333333,2,True,-1,48,./2004/electric_48.idf
20.5,16,-0.75,5.23333333333333,0,True,-1,49,./2004/electric_49.idf
21.5,15,0,5.98333333333333,0,True,-1,50,./2004/electric_50.idf
21,15.5,0,5.98333333333333,0.25,True,-1,51,./2004/electric_51.idf
20.5,14.5,-1.25,4.73333333333333,0.75,True,-1,52,./2004/electric_52.idf
21.5,15,-1,4.98333333333333,0,True,-1,53,./2004/electric_53.idf
21.5,15,-1.25,4.73333333333333,0.25,True,-1,54,./2004/electric_54.idf
-1,-1,-1,-1,-1,False,23.5,55,./2004/electric_55.idf
20,15.5,-2.25,3.73333333333333,0.25,True,-1,56,./2004/electric_56.idf
-1,-1,-1,-1,-1,False,19.5,57,./2004/electric_57.idf
21.5,15.5,-1.25,4.73333333333333,0.5,True,-1,58,./2004/electric_58.idf
21,16,-4.5,1.48333333333333,0,True,-1,59,./2004/electric_59.idf
21.5,16,-0.75,5.23333333333333,0,True,-1,60,./2004/electric_60.idf
-1,-1,-1,-1,-1,False,18.5,61,./2004/electric_61.idf
21.5,16,0,5.98333333333333,0,True,-1,62,./2004/electric_62.idf
21,15,-1.75,4.23333333333333,0,True,-1,63,./2004/electric_63.idf
21,16,-3,2.98333333333333,0,True,-1,64,./2004/electric_64.idf
21,16,-1,4.98333333333333,0.25,True,-1,65,./2004/electric_65.idf
20.5,16.5,-3.5,2.48333333333333,0,True,-1,66,./2004/electric_66.idf
20.5,14,-1.25,4.73333333333333,0.25,True,-1,67,./2004/electric_67.idf
21,16,-1,4.98333333333333,0,True,-1,68,./2004/electric_68.idf
-1,-1,-1,-1,-1,False,22.5,69,./2004/electric_69.idf
-1,-1,-1,-1,-1,False,23,70,./2004/electric_70.idf
21,16.5,0,5.98333333333333,0.5,True,-1,71,./2004/electric_71.idf
21,15,0,5.98333333333333,0.25,True,-1,72,./2004/electric_72.idf
21.5,15.5,-1.25,4.73333333333333,0,True,-1,73,./2004/electric_73.idf
21.5,16,-1.5,4.48333333333333,0.25,True,-1,74,./2004/electric_74.idf
21,16.5,-2,3.98333333333333,1.25,True,-1,75,./2004/electric_75.idf
21,16.5,-2.25,3.73333333333333,0,True,-1,76,./2004/electric_76.idf
21,15,-0.75,5.23333333333333,0,True,-1,77,./2004/electric_77.idf
20,16.5,-2.5,3.48333333333333,0,True,-1,78,./2004/electric_78.idf
21,15,-0.75,5.23333333333333,0,True,-1,79,./2004/electric_79.idf
21,16.5,-0.5,5.48333333333333,0,True,-1,80,./2004/electric_80.idf
21.5,15,-2.25,3.73333333333333,0.25,True,-1,81,./2004/electric_81.idf
20,15,-0.5,5.48333333333333,1.5,True,-1,82,./2004/electric_82.idf
-1,-1,-1,-1,-1,False,21.5,83,./2004/electric_83.idf
20.5,15,0,5.98333333333333,0.75,True,-1,84,./2004/electric_84.idf
20,14.5,-0.75,5.23333333333333,0,True,-1,85,./2004/electric_85.idf
21.5,15.5,0,5.98333333333333,0.25,True,-1,86,./2004/electric_86.idf
20,16,-2.25,3.73333333333333,1,True,-1,87,./2004/electric_87.idf
-1,-1,-1,-1,-1,False,20,88,./2004/electric_88.idf
-1,-1,-1,-1,-1,False,20,89,./2004/electric_89.idf
20.5,16,-0.25,5.73333333333333,0.75,True,-1,90,./2004/electric_90.idf
22,15.5,-1.5,4.48333333333333,0,True,-1,91,./2004/electric_91.idf
-1,-1,-1,-1,-1,False,19,92,./2004/electric_92.idf
21,16,-1,4.98333333333333,0.25,True,-1,93,./2004/electric_93.idf
22,15.5,-1.25,4.73333333333333,0,True,-1,94,./2004/electric_94.idf
-1,-1,-1,-1,-1,False,21,95,./2004/electric_95.idf
21,15.5,-5,0.983333333333333,0.75,True,-1,96,./2004/electric_96.idf
21,16.5,0,5.98333333333333,0.25,True,-1,97,./2004/electric_97.idf
20,16,-0.5,5.48333333333333,0.25,True,-1,98,./2004/electric_98.idf
-1,-1,-1,-1,-1,False,23,99,./2004/electric_99.idf
21,16,-2,3.98333333333333,0.5,True,-1,100,./2004/electric_100.idf
21,15.5,-1,4.98333333333333,0,True,-1,101,./2004/electric_101.idf
-1,-1,-1,-1,-1,False,22,102,./2004/electric_102.idf
22,16.5,-3.25,2.73333333333333,0.5,True,-1,103,./2004/electric_103.idf
21,16.5,-0.5,5.48333333333333,0,True,-1,104,./2004/electric_104.idf
21.5,16,-1,4.98333333333333,0,True,-1,105,./2004/electric_105.idf
21,15.5,-1,4.98333333333333,1,True,-1,106,./2004/electric_106.idf
21,15,-1.5,4.48333333333333,1.25,True,-1,107,./2004/electric_107.idf
20.5,15,-1.75,4.23333333333333,0.75,True,-1,108,./2004/electric_108.idf
21.5,15.5,-2.25,3.73333333333333,0,True,-1,109,./2004/electric_109.idf
21,16,-1.75,4.23333333333333,1.25,True,-1,110,./2004/electric_110.idf
21.5,15.5,-0.75,5.23333333333333,0,True,-1,111,./2004/electric_111.idf
21.5,16.5,-0.25,5.73333333333333,0.5,True,-1,112,./2004/electric_112.idf
21.5,15,-1.5,4.48333333333333,0,True,-1,113,./2004/electric_113.idf
21.5,15.5,-0.75,5.23333333333333,0,True,-1,114,./2004/electric_114.idf
-1,-1,-1,-1,-1,False,20,115,./2004/electric_115.idf
21,16,-1.25,4.73333333333333,0,True,-1,116,./2004/electric_116.idf
21,16,-1.75,4.23333333333333,0,True,-1,117,./2004/electric_117.idf
21.5,15.5,0,5.98333333333333,0.25,True,-1,118,./2004/electric_118.idf
20.5,16,-1.25,4.73333333333333,0,True,-1,119,./2004/electric_119.idf
-1,-1,-1,-1,-1,False,20.5,120,./2004/electric_120.idf
21,16,-1.25,4.73333333333333,0.25,True,-1,121,./2004/electric_121.idf
-1,-1,-1,-1,-1,False,22.5,122,./2004/electric_122.idf
21.5,15.5,0,5.98333333333333,0.25,True,-1,123,./2004/electric_123.idf
20.5,15.5,0,5.98333333333333,0,True,-1,124,./2004/electric_124.idf
21.5,15,-0.25,5.73333333333333,0.5,True,-1,125,./2004/electric_125.idf
21,16.5,-3.25,2.73333333333333,0.25,True,-1,126,./2004/electric_126.idf
20.5,15.5,-0.25,5.73333333333333,0.5,True,-1,127,./2004/electric_127.idf
21,15.5,-2,3.98333333333333,0.25,True,-1,128,./2004/electric_128.idf
20.5,15,-0.5,5.48333333333333,0.25,True,-1,129,./2004/electric_129.idf
-1,-1,-1,-1,-1,False,22,130,./2004/electric_130.idf
20.5,16,0,5.98333333333333,0.25,True,-1,131,./2004/electric_131.idf
20.5,15,-4,1.98333333333333,0,True,-1,132,./2004/electric_132.idf
21,15.5,-2,3.98333333333333,0,True,-1,133,./2004/electric_133.idf
19.5,16.5,-1.75,4.23333333333333,0.25,True,-1,134,./2004/electric_134.idf
21.5,15.5,0,5.98333333333333,0.5,True,-1,135,./2004/electric_135.idf
-1,-1,-1,-1,-1,False,18.5,136,./2004/electric_136.idf
20.5,16,-0.25,5.73333333333333,0.25,True,-1,137,./2004/electric_137.idf
-1,-1,-1,-1,-1,False,22.5,138,./2004/electric_138.idf
21.5,15.5,0,5.98333333333333,0.25,True,-1,139,./2004/electric_139.idf
20.5,16,0,5.98333333333333,0.5,True,-1,140,./2004/electric_140.idf
21,16,-1.25,4.73333333333333,0.25,True,-1,141,./2004/electric_141.idf
-1,-1,-1,-1,-1,False,23.5,142,./2004/electric_142.idf
-1,-1,-1,-1,-1,False,17,143,./2004/electric_143.idf
20.5,15.5,-2.5,3.48333333333333,0.25,True,-1,144,./2004/electric_144.idf
21.5,16,0,5.98333333333333,0.75,True,-1,145,./2004/electric_145.idf
21.5,15.5,0,5.98333333333333,0,True,-1,146,./2004/electric_146.idf
21,15,0,5.98333333333333,0,True,-1,147,./2004/electric_147.idf
21,16,-0.25,5.73333333333333,0.75,True,-1,148,./2004/electric_148.idf
21,15.5,0,5.98333333333333,0.25,True,-1,149,./2004/electric_149.idf
21,15.5,-1,4.98333333333333,0.75,True,-1,150,./2004/electric_150.idf
-1,-1,-1,-1,-1,False,20.5,151,./2004/electric_151.idf
20,16.5,-0.25,5.73333333333333,0.25,True,-1,152,./2004/electric_152.idf
-1,-1,-1,-1,-1,False,21,153,./2004/electric_153.idf
-1,-1,-1,-1,-1,False,20.5,154,./2004/electric_154.idf
20.5,15.5,-2.25,3.73333333333333,0.25,True,-1,155,./2004/electric_155.idf
21,15.5,-1.25,4.73333333333333,0.25,True,-1,156,./2004/electric_156.idf
21,16.5,0,5.98333333333333,0.25,True,-1,157,./2004/electric_157.idf
21,16,0,5.98333333333333,0.75,True,-1,158,./2004/electric_158.idf
-1,-1,-1,-1,-1,False,22,159,./2004/electric_159.idf
21,16,0,5.98333333333333,1,True,-1,160,./2004/electric_160.idf
21.5,15.5,-0.5,5.48333333333333,0.25,True,-1,161,./2004/electric_161.idf
21.5,15,-2.25,3.73333333333333,0,True,-1,162,./2004/electric_162.idf
21.5,15.5,-1.5,4.48333333333333,0.25,True,-1,163,./2004/electric_163.idf
21.5,16,-0.5,5.48333333333333,0,True,-1,164,./2004/electric_164.idf
21,15.5,-2.25,3.73333333333333,0.25,True,-1,165,./2004/electric_165.idf
20.5,15,0,5.98333333333333,0,True,-1,166,./2004/electric_166.idf
-1,-1,-1,-1,-1,False,20.5,167,./2004/electric_167.idf
22,16.5,-0.25,5.73333333333333,0,True,-1,168,./2004/electric_168.idf
22,14.5,0,5.98333333333333,0,True,-1,169,./2004/electric_169.idf
20.5,16.5,-0.25,5.73333333333333,1.75,True,-1,170,./2004/electric_170.idf
20.5,15,-1,4.98333333333333,0.75,True,-1,171,./2004/electric_171.idf
21,16,-3.5,2.48333333333333,0,True,-1,172,./2004/electric_172.idf
-1,-1,-1,-1,-1,False,21,173,./2004/electric_173.idf
20.5,15,-2.5,3.48333333333333,0,True,-1,174,./2004/electric_174.idf
-1,-1,-1,-1,-1,False,22.5,175,./2004/electric_175.idf
21,15,0,5.98333333333333,0,True,-1,176,./2004/electric_176.idf
20.5,15.5,-1.25,4.73333333333333,0,True,-1,177,./2004/electric_177.idf
20.5,15.5,-1.75,4.23333333333333,0.5,True,-1,178,./2004/electric_178.idf
-1,-1,-1,-1,-1,False,19.5,179,./2004/electric_179.idf
21.5,16,-0.25,5.73333333333333,0,True,-1,180,./2004/electric_180.idf
-1,-1,-1,-1,-1,False,19,181,./2004/electric_181.idf
22,16,0,5.98333333333333,0.25,True,-1,182,./2004/electric_182.idf
21.5,15.5,-3.25,2.73333333333333,0.25,True,-1,183,./2004/electric_183.idf
21,15,0,5.98333333333333,0.75,True,-1,184,./2004/electric_184.idf
-1,-1,-1,-1,-1,False,24,185,./2004/electric_185.idf
21.5,14.5,-0.25,5.73333333333333,0,True,-1,186,./2004/electric_186.idf
20.5,16,-0.75,5.23333333333333,0,True,-1,187,./2004/electric_187.idf
-1,-1,-1,-1,-1,False,21.5,188,./2004/electric_188.idf
21.5,14.5,-0.25,5.73333333333333,0.25,True,-1,189,./2004/electric_189.idf
20,16,-2.5,3.48333333333333,0,True,-1,190,./2004/electric_190.idf
20.5,15.5,0,5.98333333333333,0,True,-1,191,./2004/electric_191.idf
21,15,0,5.98333333333333,0.25,True,-1,192,./2004/electric_192.idf
-1,-1,-1,-1,-1,False,22.5,193,./2004/electric_193.idf
20.5,16.5,-0.5,5.48333333333333,0.5,True,-1,194,./2004/electric_194.idf
21,15.5,-2.75,3.23333333333333,1,True,-1,195,./2004/electric_195.idf
21,14.5,-1,4.98333333333333,0.25,True,-1,196,./2004/electric_196.idf
20.5,15.5,-2.75,3.23333333333333,0,True,-1,197,./2004/electric_197.idf
-1,-1,-1,-1,-1,False,18.5,198,./2004/electric_198.idf
21.5,14.5,-1.75,4.23333333333333,0.5,True,-1,199,./2004/electric_199.idf
21,16,-4.75,1.23333333333333,0.25,True,-1,200,./2004/electric_200.idf
21,15,-1.5,4.48333333333333,0.25,True,-1,201,./2004/electric_201.idf
21,16,-2.75,3.23333333333333,0,True,-1,202,./2004/electric_202.idf
-1,-1,-1,-1,-1,False,21,203,./2004/electric_203.idf
20.5,15,-1.75,4.23333333333333,0.25,True,-1,204,./2004/electric_204.idf
20,14.5,-0.25,5.73333333333333,0,True,-1,205,./2004/electric_205.idf
20.5,14.5,0,5.98333333333333,0,True,-1,206,./2004/electric_206.idf
21,15,0,5.98333333333333,0,True,-1,207,./2004/electric_207.idf
21.5,16,-1.25,4.73333333333333,0.25,True,-1,208,./2004/electric_208.idf
21.5,15,0,5.98333333333333,0,True,-1,209,./2004/electric_209.idf
-1,-1,-1,-1,-1,False,23,210,./2004/electric_210.idf
20.5,16,-3.5,2.48333333333333,0,True,-1,211,./2004/electric_211.idf
20.5,15.5,0,5.98333333333333,0.25,True,-1,212,./2004/electric_212.idf
-1,-1,-1,-1,-1,False,19.5,213,./2004/electric_213.idf
20.5,15,-1.5,4.48333333333333,0,True,-1,214,./2004/electric_214.idf
-1,-1,-1,-1,-1,False,23,215,./2004/electric_215.idf
21,15,-0.25,5.73333333333333,0,True,-1,216,./2004/electric_216.idf
-1,-1,-1,-1,-1,False,20,217,./2004/electric_217.idf
-1,-1,-1,-1,-1,False,21,218,./2004/electric_218.idf
21,16,-0.5,5.48333333333333,0,True,-1,219,./2004/electric_219.idf
21.5,15,-0.5,5.48333333333333,0.25,True,-1,220,./2004/electric_220.idf
-1,-1,-1,-1,-1,False,20.5,221,./2004/electric_221.idf
20.5,15.5,-1,4.98333333333333,0,True,-1,222,./2004/electric_222.idf
21,15.5,-1.75,4.23333333333333,0,True,-1,223,./2004/electric_223.idf
22,15,-2.5,3.48333333333333,0,True,-1,224,./2004/electric_224.idf
20.5,16,-0.75,5.23333333333333,0.25,True,-1,225,./2004/electric_225.idf
21.5,15,-1.5,4.48333333333333,1.5,True,-1,226,./2004/electric_226.idf
-1,-1,-1,-1,-1,False,19.5,227,./2004/electric_227.idf
-1,-1,-1,-1,-1,False,19.5,228,./2004/electric_228.idf
21.5,15.5,-0.75,5.23333333333333,0,True,-1,229,./2004/electric_229.idf
21.5,15.5,-1.5,4.48333333333333,0.5,True,-1,230,./2004/electric_230.idf
22,16,-1,4.98333333333333,0,True,-1,231,./2004/electric_231.idf
22,16,0,5.98333333333333,0,True,-1,232,./2004/electric_232.idf
21,15.5,-0.75,5.23333333333333,0.5,True,-1,233,./2004/electric_233.idf
-1,-1,-1,-1,-1,False,22.5,234,./2004/electric_234.idf
21,16,-5,0.983333333333333,0,True,-1,235,./2004/electric_235.idf
21,16,-0.25,5.73333333333333,0.25,True,-1,236,./2004/electric_236.idf
-1,-1,-1,-1,-1,False,21,237,./2004/electric_237.idf
-1,-1,-1,-1,-1,False,21.5,238,./2004/electric_238.idf
-1,-1,-1,-1,-1,False,21,239,./2004/electric_239.idf
21.5,15.5,-0.5,5.48333333333333,0.5,True,-1,240,./2004/electric_240.idf
22.5,15.5,-0.75,5.23333333333333,0,True,-1,241,./2004/electric_241.idf
20.5,15.5,-3,2.98333333333333,0.5,True,-1,242,./2004/electric_242.idf
20.5,15.5,-0.5,5.48333333333333,0.25,True,-1,243,./2004/electric_243.idf
21.5,15.5,-4.75,1.23333333333333,0,True,-1,244,./2004/electric_244.idf
-1,-1,-1,-1,-1,False,19,245,./2004/electric_245.idf
20,15,-0.25,5.73333333333333,0.25,True,-1,246,./2004/electric_246.idf
21,16,-1.5,4.48333333333333,0,True,-1,247,./2004/electric_247.idf
20.5,16,-2.5,3.48333333333333,0.75,True,-1,248,./2004/electric_248.idf
21,15.5,-0.5,5.48333333333333,1,True,-1,249,./2004/electric_249.idf
20.5,15,-1,4.98333333333333,1,True,-1,250,./2004/electric_250.idf
-1,-1,-1,-1,-1,False,22.5,251,./2004/electric_251.idf
21,16.5,-1,4.98333333333333,0,True,-1,252,./2004/electric_252.idf
21.5,16.5,-0.75,5.23333333333333,0.5,True,-1,253,./2004/electric_253.idf
21,15.5,-1.5,4.48333333333333,0,True,-1,254,./2004/electric_254.idf
21,16,-1.75,4.23333333333333,0.25,True,-1,255,./2004/electric_255.idf
21.5,15.5,-0.5,5.48333333333333,0,True,-1,256,./2004/electric_256.idf
-1,-1,-1,-1,-1,False,22,257,./2004/electric_257.idf
20.5,17,-0.5,5.48333333333333,0,True,-1,258,./2004/electric_258.idf
21,15,-2,3.98333333333333,0,True,-1,259,./2004/electric_259.idf
20.5,15.5,0,5.98333333333333,0,True,-1,260,./2004/electric_260.idf
20.5,16,-0.75,5.23333333333333,1.25,True,-1,261,./2004/electric_261.idf
21.5,15.5,-1.75,4.23333333333333,0.25,True,-1,262,./2004/electric_262.idf
21.5,15.5,0,5.98333333333333,0,True,-1,263,./2004/electric_263.idf
21,15.5,-1.25,4.73333333333333,0.5,True,-1,264,./2004/electric_264.idf
-1,-1,-1,-1,-1,False,20.5,265,./2004/electric_265.idf
21,16,-1.5,4.48333333333333,0,True,-1,266,./2004/electric_266.idf
21,15,-1,4.98333333333333,0,True,-1,267,./2004/electric_267.idf
-1,-1,-1,-1,-1,False,20.5,268,./2004/electric_268.idf
-1,-1,-1,-1,-1,False,21,269,./2004/electric_269.idf
-1,-1,-1,-1,-1,False,20,270,./2004/electric_270.idf
-1,-1,-1,-1,-1,False,18.5,271,./2004/electric_271.idf
21,15,-2.75,3.23333333333333,0.25,True,-1,272,./2004/electric_272.idf
-1,-1,-1,-1,-1,False,21.5,273,./2004/electric_273.idf
21,16,-0.25,5.73333333333333,0.25,True,-1,274,./2004/electric_274.idf
-1,-1,-1,-1,-1,False,19,275,./2004/electric_275.idf
21,16.5,-0.25,5.73333333333333,0.5,True,-1,276,./2004/electric_276.idf
21.5,15.5,-0.25,5.73333333333333,0,True,-1,277,./2004/electric_277.idf
20.5,15.5,-0.25,5.73333333333333,1.5,True,-1,278,./2004/electric_278.idf
21,15,0,5.98333333333333,0.25,True,-1,279,./2004/electric_279.idf
-1,-1,-1,-1,-1,False,22,280,./2004/electric_280.idf
21,15.5,0,5.98333333333333,0.5,True,-1,281,./2004/electric_281.idf
-1,-1,-1,-1,-1,False,18.5,282,./2004/electric_282.idf
-1,-1,-1,-1,-1,False,20.5,283,./2004/electric_283.idf
21,15.5,-1.5,4.48333333333333,0,True,-1,284,./2004/electric_284.idf
21,16.5,-1.5,4.48333333333333,0.5,True,-1,285,./2004/electric_285.idf
21,15.5,-1.5,4.48333333333333,0.5,True,-1,286,./2004/electric_286.idf
21.5,16,0,5.98333333333333,0,True,-1,287,./2004/electric_287.idf
20.5,15.5,-0.75,5.23333333333333,0.25,True,-1,288,./2004/electric_288.idf
21.5,14.5,-1.25,4.73333333333333,0,True,-1,289,./2004/electric_289.idf
20.5,16,-0.25,5.73333333333333,0.25,True,-1,290,./2004/electric_290.idf
21,16,-0.25,5.73333333333333,0.5,True,-1,291,./2004/electric_291.idf
20.5,16.5,-1.25,4.73333333333333,0,True,-1,292,./2004/electric_292.idf
21,15.5,-0.25,5.73333333333333,0.5,True,-1,293,./2004/electric_293.idf
21,15.5,-0.25,5.73333333333333,0,True,-1,294,./2004/electric_294.idf
21.5,15.5,-1.75,4.23333333333333,0,True,-1,295,./2004/electric_295.idf
-1,-1,-1,-1,-1,False,22,296,./2004/electric_296.idf
-1,-1,-1,-1,-1,False,18.5,297,./2004/electric_297.idf
20.5,15.5,-0.5,5.48333333333333,0.75,True,-1,298,./2004/electric_298.idf
20.5,15.5,-3.75,2.23333333333333,0,True,-1,299,./2004/electric_299.idf
-1,-1,-1,-1,-1,False,21.5,300,./2004/electric_300.idf
21.5,16,-0.75,5.23333333333333,1,True,-1,301,./2004/electric_301.idf
-1,-1,-1,-1,-1,False,20.5,302,./2004/electric_302.idf
-1,-1,-1,-1,-1,False,20,303,./2004/electric_303.idf
20.5,15.5,-1,4.98333333333333,0,True,-1,304,./2004/electric_304.idf
20.5,15.5,0,5.98333333333333,0.25,True,-1,305,./2004/electric_305.idf
20.5,16,-2,3.98333333333333,0,True,-1,306,./2004/electric_306.idf
21,15,-2.5,3.48333333333333,0,True,-1,307,./2004/electric_307.idf
20.5,15,-2.5,3.48333333333333,0.5,True,-1,308,./2004/electric_308.idf
-1,-1,-1,-1,-1,False,21.5,309,./2004/electric_309.idf
20.5,15,-1.5,4.48333333333333,0.25,True,-1,310,./2004/electric_310.idf
-1,-1,-1,-1,-1,False,20,311,./2004/electric_311.idf
-1,-1,-1,-1,-1,False,22,312,./2004/electric_312.idf
21,15.5,-4.75,1.23333333333333,0,True,-1,313,./2004/electric_313.idf
21,16.5,-1,4.98333333333333,0.25,True,-1,314,./2004/electric_314.idf
21,15,-0.25,5.73333333333333,0,True,-1,315,./2004/electric_315.idf
21,16,0,5.98333333333333,0.75,True,-1,316,./2004/electric_316.idf
21.5,15.5,-5,0.983333333333333,0,True,-1,317,./2004/electric_317.idf
21,15.5,-0.25,5.73333333333333,0,True,-1,318,./2004/electric_318.idf
20.5,16,-0.5,5.48333333333333,0.25,True,-1,319,./2004/electric_319.idf
22,16,-1.5,4.48333333333333,1.25,True,-1,320,./2004/electric_320.idf
20.5,15.5,-1,4.98333333333333,0.25,True,-1,321,./2004/electric_321.idf
-1,-1,-1,-1,-1,False,20,322,./2004/electric_322.idf
20,16,-1.25,4.73333333333333,0,True,-1,323,./2004/electric_323.idf
-1,-1,-1,-1,-1,False,19.5,324,./2004/electric_324.idf
21,16.5,-0.25,5.73333333333333,1.25,True,-1,325,./2004/electric_325.idf
20.5,15,-1.25,4.73333333333333,0,True,-1,326,./2004/electric_326.idf
20.5,15,-0.5,5.48333333333333,0,True,-1,327,./2004/electric_327.idf
21,15,0,5.98333333333333,0.25,True,-1,328,./2004/electric_328.idf
20.5,15,-0.25,5.73333333333333,0.25,True,-1,329,./2004/electric_329.idf
21.5,15.5,-1.5,4.48333333333333,0.5,True,-1,330,./2004/electric_330.idf
21.5,16,-1.75,4.23333333333333,0,True,-1,331,./2004/electric_331.idf
20.5,15,-4.75,1.23333333333333,0.25,True,-1,332,./2004/electric_332.idf
-1,-1,-1,-1,-1,False,18,333,./2004/electric_333.idf
21,15.5,0,5.98333333333333,0.5,True,-1,334,./2004/electric_334.idf
21.5,15.5,-0.5,5.48333333333333,0,True,-1,335,./2004/electric_335.idf
21,15,-3,2.98333333333333,0,True,-1,336,./2004/electric_336.idf
21.5,15.5,-0.5,5.48333333333333,0,True,-1,337,./2004/electric_337.idf
-1,-1,-1,-1,-1,False,20.5,338,./2004/electric_338.idf
20.5,16,-1.25,4.73333333333333,0.5,True,-1,339,./2004/electric_339.idf
21,15.5,-1.75,4.23333333333333,0,True,-1,340,./2004/electric_340.idf
-1,-1,-1,-1,-1,False,20,341,./2004/electric_341.idf
21,15.5,-1.75,4.23333333333333,0,True,-1,342,./2004/electric_342.idf
20.5,16,-1,4.98333333333333,0.25,True,-1,343,./2004/electric_343.idf
21.5,15.5,-2.25,3.73333333333333,1,True,-1,344,./2004/electric_344.idf
22,16,-0.25,5.73333333333333,0.75,True,-1,345,./2004/electric_345.idf
20.5,16.5,-3.25,2.73333333333333,0.25,True,-1,346,./2004/electric_346.idf
21.5,16,-0.75,5.23333333333333,0.5,True,-1,347,./2004/electric_347.idf
21,15,-0.25,5.73333333333333,0.25,True,-1,348,./2004/electric_348.idf
21,15.5,-0.75,5.23333333333333,0.25,True,-1,349,./2004/electric_349.idf
20.5,15.5,-0.25,5.73333333333333,0,True,-1,350,./2004/electric_350.idf
-1,-1,-1,-1,-1,False,22,351,./2004/electric_351.idf
21,15.5,-3.75,2.23333333333333,0.75,True,-1,352,./2004/electric_352.idf
-1,-1,-1,-1,-1,False,22,353,./2004/electric_353.idf
21,15,0,5.98333333333333,0.25,True,-1,354,./2004/electric_354.idf
-1,-1,-1,-1,-1,False,20,355,./2004/electric_355.idf
21.5,15.5,-0.5,5.48333333333333,0.25,True,-1,356,./2004/electric_356.idf
20.5,15.5,-0.5,5.48333333333333,1,True,-1,357,./2004/electric_357.idf
-1,-1,-1,-1,-1,False,21,358,./2004/electric_358.idf
